datetime,timestamp,price,coin_id,vs_currency,market_cap,volume
2024-07-02 20:00:00,1719964800000,3417.8984255478363,ethereum,usd,410850514007.59125,8478511086.945243
2024-07-03 20:00:00,1720051200000,3295.808464429979,ethereum,usd,395971730267.60034,15473856746.245096
2024-07-04 20:00:00,1720137600000,3069.0434008340803,ethereum,usd,369571668593.03217,19209988737.688694
2024-07-05 20:00:00,1720224000000,2984.398102498264,ethereum,usd,358878418412.549,31755421068.593773
2024-07-06 20:00:00,1720310400000,3066.247437954064,ethereum,usd,368279414918.9943,9871087552.273798
2024-07-07 20:00:00,1720396800000,2928.6012310061665,ethereum,usd,350977454882.58325,10243406181.924892
2024-07-08 20:00:00,1720483200000,3016.0833537946064,ethereum,usd,362836336467.41907,20819810746.374283
2024-07-09 20:00:00,1720569600000,3064.0923605197886,ethereum,usd,368733224976.19775,14902982165.592142
2024-07-10 20:00:00,1720656000000,3099.7101861313545,ethereum,usd,372867773189.40076,14523237728.597153
2024-07-11 20:00:00,1720742400000,3102.0902302291074,ethereum,usd,372384838887.21234,14058546522.739754
2024-07-12 20:00:00,1720828800000,3132.980838609695,ethereum,usd,376300269815.6458,12435435678.409641
2024-07-13 20:00:00,1720915200000,3173.5042341380185,ethereum,usd,381711250543.1549,7830621980.637015
2024-07-14 20:00:00,1721001600000,3252.654184707363,ethereum,usd,391583812600.5758,9867236520.521011
2024-07-15 20:00:00,1721088000000,3488.5387580277174,ethereum,usd,419316550609.62476,18368344859.430637
2024-07-16 20:00:00,1721174400000,3446.7658893041003,ethereum,usd,414703698412.0949,21040427365.588116
2024-07-17 20:00:00,1721260800000,3389.441287038116,ethereum,usd,407908628077.67224,16978839263.794697
2024-07-18 20:00:00,1721347200000,3428.5520187667257,ethereum,usd,412233122047.3164,14884776298.264118
2024-07-19 20:00:00,1721433600000,3505.222536388452,ethereum,usd,421392010127.0308,17784761899.551624
2024-07-20 20:00:00,1721520000000,3522.8013028122487,ethereum,usd,423550664963.50604,9427844289.70798
